n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,897,0.2449779586822796,0.955,1.7447415593669557,0.7325
2,2,0,440,0.6604369447888253,0.87,1.4595546494274132,0.7
3,3,0,744,0.45723768788238306,0.915,1.4794061002179582,0.7
4,4,0,978,1.348957743869307,0.825,1.9998261580066075,0.72
5,5,0,969,0.7125914573689555,0.8925,1.6445897783709613,0.7325
6,6,0,932,0.9207323107010656,0.86,1.9173739483857866,0.69
7,7,0,979,1.6084037436712775,0.7575,1.77899130832311,0.695
8,8,0,755,0.7798016148955202,0.8725,1.8478075334904691,0.7
9,9,0,603,0.31373553526436204,0.9175,1.455740355140406,0.7375
10,0,1,935,1.961847061218653,0.7375,0.363960536690454,0.915
11,2,1,821,0.5665913074050807,0.8925,0.2203392750703204,0.94
12,3,1,670,0.4965832825164412,0.91,0.22924976194905544,0.9325
13,4,1,945,1.4460076544275327,0.82,0.33644595007222056,0.9275
14,5,1,902,0.7151331881396898,0.875,0.26781141051321455,0.955
15,6,1,793,0.743764568077049,0.8475,0.28520705811051805,0.9375
16,7,1,923,1.6658633351259864,0.7275,0.1955929988315376,0.935
17,8,1,687,0.5782523214147237,0.8925,0.2831915957085985,0.93
18,9,1,903,0.5078903430649345,0.8925,0.2274960665798813,0.94
19,0,2,790,1.6998555141064935,0.7375,1.1051949508956027,0.84
20,1,2,604,0.11064283379341248,0.97,0.5448511025846865,0.8775
21,3,2,985,0.36891012821649494,0.9275,1.0361143786164182,0.8325
22,4,2,851,1.1659818690128263,0.83,0.786968975243029,0.8775
23,5,2,484,0.3971335610913209,0.905,0.6138242704019871,0.875
24,6,2,696,0.7274430534090549,0.85,0.6681313558436117,0.87
25,7,2,440,1.1886948729742262,0.75,0.6550662700464636,0.86
26,8,2,599,0.6575218952945663,0.88,0.5009716454207086,0.88
27,9,2,591,0.6655273499375667,0.8875,0.7040720825207284,0.8525
28,0,3,694,1.4763660728167647,0.755,0.6069853903745432,0.885
29,1,3,823,0.17732702952196855,0.9475,0.5216343455829362,0.8925
30,2,3,754,0.8013160009363468,0.8775,0.42278352511669365,0.895
31,4,3,967,1.6969986490797124,0.7825,0.46131422240166514,0.8875
32,5,3,981,0.85161415791227,0.885,0.4757471009559159,0.92
33,6,3,560,0.8109110892203222,0.845,0.5403449619829424,0.8875
34,7,3,989,1.4285922454741526,0.7425,0.4899421290456667,0.9125
35,8,3,378,0.6741754864479943,0.8575,0.5267407563859059,0.845
36,9,3,534,0.4137600182176601,0.895,0.5913730224711241,0.8675
37,0,4,860,1.9264584696623888,0.7775,1.5803530734561533,0.7875
38,1,4,851,0.15100702871677588,0.975,1.828987301120921,0.7425
39,2,4,863,0.5345582920866278,0.9,1.3088169698927148,0.8075
40,3,4,551,0.365214132397731,0.9175,1.5448287565930696,0.745
41,5,4,766,0.4864922924556612,0.9025,1.7942211071031526,0.7325
42,6,4,885,0.9289506747881292,0.8475,1.9659440091777087,0.7575
43,7,4,650,1.5615662615790091,0.75,1.3884191834354904,0.77
44,8,4,893,0.6987328735339837,0.8875,1.5902081592019277,0.7875
45,9,4,991,0.43248667220536935,0.91,1.286081423240678,0.8075
46,0,5,360,1.390422994690487,0.7425,0.6808468205968652,0.83
47,1,5,959,0.23473093309628562,0.9625,0.9828948287692856,0.83
48,2,5,921,0.5043834621160008,0.905,0.8433401526312336,0.86
49,3,5,503,0.44359286642551865,0.91,0.7897586456619996,0.82
50,4,5,691,1.4669305071295553,0.8025,0.9341521669706331,0.8125
51,6,5,939,0.844688540258737,0.8625,0.6975343105596976,0.86
52,7,5,662,1.9877431722796857,0.71,0.8838825628850933,0.8225
53,8,5,981,0.8267698793058675,0.8625,1.3021322366171795,0.825
54,9,5,656,0.46871512790415004,0.9,0.7720130994179268,0.84
55,0,6,958,1.5085772806761666,0.77,0.8762770357705805,0.845
56,1,6,909,0.15344192321009487,0.9525,0.9611651147634233,0.805
57,2,6,514,0.33716766312517005,0.915,0.9042641717682153,0.8075
58,3,6,996,0.36739749382374604,0.93,1.0056890454447376,0.8175
59,4,6,813,1.2082640811769405,0.82,1.070047489086877,0.8225
