n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,802,0.2532665747492748,0.9575,1.9305801843374768,0.7075
2,2,0,542,0.7695853679472934,0.905,1.9030890314046482,0.7325
3,3,0,528,0.37716903234412924,0.9425,1.8686653288541146,0.69
4,4,0,467,1.361605279348991,0.8075,1.8625773440198026,0.71
5,5,0,950,0.4874076695991796,0.9175,2.0853019652300278,0.685
6,6,0,853,0.6816279061092694,0.8825,2.4938537650613286,0.7
7,7,0,867,1.236337751121182,0.8025,1.801878297603286,0.735
8,8,0,650,0.7602418851196819,0.9,1.684354903479795,0.755
9,9,0,794,0.45392831333777384,0.9275,1.9520481726710734,0.6875
10,10,0,682,0.8248519119653365,0.8625,1.4847028165556029,0.765
11,11,0,955,1.3377871332270441,0.84,2.0988468671476532,0.715
12,12,0,620,0.3951337357082234,0.9225,1.9977115639515541,0.6925
13,13,0,267,0.47792513429453404,0.895,1.035084616204553,0.7375
14,0,1,875,2.142121633303697,0.74,0.2675693458328546,0.945
15,2,1,454,0.860071637177994,0.895,0.19415593905840103,0.955
16,3,1,365,0.3304189383828481,0.9325,0.22331792665860334,0.95
17,4,1,946,1.623265795716511,0.82,0.34013741690998156,0.9525
18,5,1,683,0.4103148126254458,0.9175,0.15698492470789968,0.97
19,6,1,223,0.6944701027267713,0.855,0.2030875274559896,0.9375
20,7,1,401,1.02299904311784,0.835,0.20432604440995694,0.9375
21,8,1,384,0.6504014541480152,0.895,0.204548933903481,0.945
22,9,1,722,0.5671042110648551,0.9225,0.11357807099368802,0.97
23,10,1,620,0.8359418914749662,0.87,0.25224715804963455,0.955
24,11,1,453,1.5370243611415706,0.815,0.17992467478969978,0.955
25,12,1,631,0.3167429276217215,0.9325,0.2597793894105378,0.95
26,13,1,815,0.912379746407031,0.8775,0.2528943173659426,0.9525
27,0,2,650,1.7716916558183038,0.7625,1.143285331726909,0.8825
28,1,2,542,0.19414359992625863,0.9775,1.01418019528198,0.88
29,3,2,891,0.4291169362539083,0.935,1.1354195518133805,0.8725
30,4,2,844,1.0828901409196763,0.8525,1.2498133591886293,0.8725
31,5,2,500,0.34588646991732364,0.92,1.2495108799262056,0.8675
32,6,2,368,0.5316316676564267,0.885,1.045879584742904,0.865
33,7,2,939,1.7335692973491905,0.7825,1.438548411718641,0.87
34,8,2,692,0.7095522137610992,0.9025,1.2304241832255245,0.8575
35,9,2,968,0.7484858203560131,0.9075,1.1246161708174292,0.875
36,10,2,762,0.7037360341777137,0.875,1.0508430123646042,0.8875
37,11,2,673,1.2148512348523361,0.865,0.8635803458323787,0.88
38,12,2,291,0.19450392715356107,0.9525,0.7856251375677027,0.88
39,13,2,934,0.8196717458765349,0.905,0.8725335680975246,0.8925
