n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,232,1.8197961401962686,0.625,2.152459255136831,0.5625
2,2,0,260,0.06629699381872914,0.9925,0.11018248579263837,0.955
3,3,0,298,0.02234783325252243,0.995,0.05672282758883278,0.98
4,4,0,148,0.8585456458471378,0.7475,0.09768045863478789,0.98
5,5,0,195,1.5487688731178157,0.69,0.10592254102613123,0.9625
6,6,0,208,1.7660857427565493,0.6275,0.09567902593577426,0.96
7,7,0,265,1.9488950934815195,0.6525,0.05246440517883416,0.985
8,8,0,199,1.1873766232908967,0.7375,0.1316814904710138,0.9625
9,0,1,217,1.820219524375783,0.6325,1.9601286839199723,0.5925
10,2,1,243,0.04795592056969856,0.9925,0.10311992199308148,0.9675
11,3,1,292,0.0467854225875733,0.99,0.08411640268549561,0.97
12,4,1,103,0.8972924905269608,0.7475,0.2496900408031758,0.905
13,5,1,198,1.5409058957049406,0.68,0.11730944868561144,0.9625
14,6,1,197,1.7144255678236988,0.64,0.09281832805143207,0.965
15,7,1,240,1.9029142066922673,0.6475,0.10357128406420782,0.9725
16,8,1,236,1.1373402991905683,0.7575,0.11136346672755476,0.9575
17,0,2,290,0.07963440720751114,0.9825,0.08887189607257373,0.975
18,1,2,247,0.07813620687856071,0.985,0.07709228323091954,0.98
19,3,2,233,0.9517507709002689,0.78,1.168851916597424,0.7175
20,4,2,276,1.0076891524733997,0.7725,0.0578852417483777,0.98
21,5,2,264,1.527856245504288,0.68,0.06120010421643549,0.9775
22,6,2,288,1.8308304773419803,0.625,0.05335398766383354,0.985
23,7,2,227,1.8676730691207784,0.66,0.057419025903676285,0.98
24,8,2,252,1.303713835525945,0.7325,0.05266164797345229,0.98
25,0,3,253,0.0685539037723943,0.9825,0.11712508883771999,0.9525
26,1,3,293,0.056541823323600165,0.9875,0.04787741426302616,0.985
27,2,3,251,1.1235033390556057,0.775,0.8995068806869301,0.7725
28,4,3,172,1.002042787950069,0.76,0.10315600603833944,0.9625
29,5,3,280,1.703628789762793,0.69,0.05572808071830442,0.985
30,6,3,253,1.7579735071336295,0.63,0.06438723657208306,0.9775
31,7,3,227,1.8473407557118156,0.655,0.0628776536098137,0.9775
32,8,3,162,1.084930509910824,0.75,0.11481620094305857,0.9625
33,0,4,296,0.066893281019578,0.985,1.177442658790266,0.735
34,1,4,272,0.046270496422426435,0.99,1.2333485309634284,0.7275
35,2,4,266,0.038840896145119874,0.99,1.235656298522013,0.7025
36,3,4,268,0.046325674820322904,0.9875,1.371990125859228,0.6875
37,5,4,202,1.7970599560782745,0.635,1.0533755562521165,0.7075
38,6,4,252,2.0105027196290357,0.5825,1.2437529277123716,0.7
39,7,4,225,1.8674038590479165,0.6325,1.1217506607215109,0.7
40,8,4,256,1.4965131847841497,0.7325,1.2408262840248239,0.69
41,0,5,253,0.06737164278307546,0.985,1.5581971129321057,0.6675
42,1,5,238,0.04348782088963492,0.9925,1.733440778975976,0.65
43,2,5,232,0.04594568195204565,0.9925,1.7120707087335638,0.66
44,3,5,296,0.022707471502570846,0.9975,1.8247080909687348,0.6375
45,4,5,173,1.1321177294691729,0.7375,1.7545587138969543,0.6
46,6,5,140,1.9835417814375083,0.5875,1.7477663139853057,0.6
47,7,5,154,1.8372902214057771,0.635,1.590710441200659,0.615
48,8,5,209,1.313010656764932,0.74,1.6558156179013412,0.6275
49,0,6,261,0.03385390044908344,0.9925,2.1654033273421716,0.5675
50,1,6,284,0.051220312553683096,0.99,2.031011029359681,0.595
51,2,6,292,0.03568892817945717,0.9925,2.0031168685995073,0.555
52,3,6,236,0.0336246263437876,0.995,1.7612920041208893,0.5975
53,4,6,260,1.229475059177732,0.75,2.4466259657684386,0.5225
54,5,6,256,1.7120077165449326,0.675,2.3877224304336186,0.5625
55,7,6,230,2.3191880758277774,0.6175,2.3429238938190724,0.565
56,8,6,192,1.2226934882150409,0.725,1.863543026952175,0.5775
57,0,7,242,0.050126650716598165,0.99,1.848390072414139,0.585
58,1,7,298,0.029448303184407772,0.995,1.9763000188083963,0.615
59,2,7,295,0.017976109451344566,0.9975,2.295527935838157,0.585
60,3,7,299,0.025125825774335683,0.995,2.195068288280177,0.615
61,4,7,232,1.1677895872414013,0.7475,2.1030091638904755,0.5875
62,5,7,261,1.468133023204112,0.69,1.935571742723893,0.585
63,6,7,115,1.7133443143070943,0.58,2.0863579503514065,0.59
64,8,7,263,1.5156515098040024,0.7175,2.529066124036283,0.5925
65,0,8,245,0.04042189003251499,0.9925,1.407047304382385,0.6825
66,1,8,282,0.03393692168856979,0.99,1.4763163980459144,0.7225
67,2,8,250,0.04851345991713245,0.9925,1.4080586191262106,0.6975
68,3,8,255,0.0665035311838739,0.985,1.17369515449274,0.7475
69,4,8,282,1.0955689028425413,0.7625,1.6173165068591586,0.6875
70,5,8,228,1.6177001675800666,0.6775,1.4655313449098466,0.7025
71,6,8,149,1.6532031991150369,0.6225,1.3005445904445716,0.655
72,7,8,276,2.020151899466429,0.6475,1.5974106703604973,0.725
