n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,261,0.18205243285486494,0.9475,1.3913697795113196,0.6975
2,2,0,259,0.705709209386192,0.87,1.4307360171049566,0.66
3,3,0,133,0.4012992615861006,0.89,1.4004575707306195,0.6725
4,4,0,98,1.044424135779358,0.795,1.0546674817195325,0.715
5,5,0,66,0.5012953336073906,0.88,0.958928831515958,0.7325
6,6,0,113,0.6089292087653477,0.8375,1.3090025517685242,0.6775
7,7,0,102,1.4874179553222455,0.7425,1.2510679983309048,0.7125
8,8,0,254,0.7494374138503824,0.855,1.3616104928915411,0.685
9,9,0,161,0.5045624975015882,0.8775,1.3636053714020315,0.7
10,0,1,38,0.9689740343757133,0.73,0.20011468775881452,0.93
11,2,1,162,0.5196173895582035,0.875,0.16923903566122395,0.95
12,3,1,180,0.5849493149204705,0.905,0.20165899622807698,0.94
13,4,1,88,1.173326152730437,0.775,0.2419123508116556,0.9425
14,5,1,179,0.5240565841714941,0.9,0.10928395654597994,0.965
15,6,1,292,0.7618931963415956,0.83,0.18770665548221982,0.94
16,7,1,103,1.4244527870827448,0.6925,0.1317353152849659,0.96
17,8,1,71,0.6113952738925748,0.845,0.27024962171941636,0.9075
18,9,1,56,0.49942743788819727,0.8575,0.18254584870036222,0.95
19,0,2,194,1.3655003610324625,0.7225,0.7081860357450835,0.8475
20,1,2,217,0.11297170716885217,0.9725,0.575069053510417,0.84
21,3,2,280,0.42455902622348074,0.905,0.6116997990934347,0.85
22,4,2,120,1.1097718821493339,0.8025,0.5511807636497512,0.8525
23,5,2,261,0.5115521103727702,0.8775,0.6468537640362758,0.8475
24,6,2,193,0.7342392128581698,0.8275,0.665896640478297,0.835
25,7,2,149,1.339846348335926,0.7,0.6245081329412608,0.8625
26,8,2,180,0.6610171096239768,0.87,0.46654659967045775,0.86
27,9,2,82,0.5134396986787714,0.865,0.6104278874973625,0.8325
28,0,3,171,1.2272027276802158,0.745,0.4801430665735096,0.8675
29,1,3,111,0.17431073564272392,0.9625,0.40868876190265535,0.88
30,2,3,196,0.5674929970165964,0.8675,0.5328012018407703,0.885
31,4,3,57,0.9788593407689248,0.7825,0.43204018655389964,0.8475
32,5,3,170,0.5955552610120877,0.865,0.4332710743469152,0.875
33,6,3,138,0.9279227774928764,0.8125,0.4542234171383732,0.87
34,7,3,101,1.2870965907236345,0.735,0.4388471784516339,0.865
35,8,3,62,0.5656242945146157,0.8475,0.4165565660275966,0.85
36,9,3,71,0.5389939623432141,0.845,0.4616477141391716,0.86
37,0,4,295,1.2351674140689022,0.7575,0.935420279585995,0.8175
38,1,4,127,0.18696098371942632,0.97,1.2324381585783946,0.735
39,2,4,128,0.3417253841321649,0.8975,0.8300351740648473,0.815
40,3,4,188,0.7164585215293388,0.865,1.3429235777693127,0.7325
41,5,4,137,0.5392878450337594,0.8575,1.0464700159327935,0.7525
42,6,4,295,0.6401823779871034,0.85,0.9104762140206033,0.7725
43,7,4,143,1.0436304924377864,0.7975,0.957636303015849,0.7925
44,8,4,67,0.49291720174877046,0.8725,0.9193233641010387,0.7425
45,9,4,148,0.44557794531954986,0.885,1.0455404198340874,0.7575
46,0,5,241,1.3226603403173,0.7425,0.6259897232038691,0.85
47,1,5,233,0.12925522173071202,0.975,0.4720250439478194,0.86
48,2,5,93,0.5046861309991424,0.875,0.4566690330343781,0.8525
49,3,5,178,0.44819195363132935,0.9,0.541663663220595,0.85
50,4,5,292,1.203049452991765,0.79,0.4351675199281086,0.8675
51,6,5,272,0.7761361984658997,0.8275,0.5337128206923438,0.8575
52,7,5,287,1.4479392123613541,0.7275,0.5059155216181934,0.84
53,8,5,97,0.5889695799630807,0.86,0.5438571775667248,0.84
54,9,5,279,0.4539583493441818,0.885,0.5156697208629757,0.8475
55,0,6,59,1.1427555954804938,0.72,0.5213713687727102,0.8375
56,1,6,191,0.2008631141558423,0.9475,0.6017911043585719,0.83
57,2,6,141,0.7261985779048292,0.845,0.6677868800442175,0.81
58,3,6,100,0.4231187125442133,0.9025,0.6696037233554453,0.8225
59,4,6,57,0.873591736723368,0.785,0.5327481667133336,0.8225
60,5,6,264,0.6483046706512405,0.87,0.6066609700252887,0.84
61,7,6,265,1.6939622516972568,0.6575,0.7526230692264153,0.8175
62,8,6,117,0.4911551047704048,0.8925,0.5734595967965366,0.8375
63,9,6,61,0.49984411713665516,0.87,0.5275316777544551,0.8375
64,0,7,202,1.2441271401064253,0.72,1.3289894562820366,0.665
65,1,7,217,0.21754332263882423,0.965,1.503591735244698,0.66
66,2,7,215,0.5806715403884246,0.885,1.1693832369199866,0.72
67,3,7,90,0.3366598517427171,0.91,1.2564188516738002,0.6875
68,4,7,243,0.9507191442560214,0.8275,1.2169664341574913,0.7075
69,5,7,254,0.477909909385452,0.87,1.5535567738389557,0.6675
70,6,7,157,0.9655265289742342,0.82,1.2638922057795425,0.72
71,8,7,108,0.5308582165782832,0.8775,0.9298132878108893,0.7525
72,9,7,284,0.4769689766314764,0.895,1.2115974404836045,0.6975
73,0,8,48,0.9854715891114066,0.745,0.5804776279847079,0.8225
74,1,8,122,0.15464885372593523,0.9575,0.6403686572763971,0.8175
75,2,8,93,0.6582402255560804,0.8575,0.5259124127474528,0.8375
76,3,8,253,0.5913321737319697,0.87,0.5760676328912886,0.8175
77,4,8,252,1.077160775353127,0.79,0.5191600339225059,0.8525
78,5,8,100,0.47029775907385146,0.8675,0.5703876144585306,0.82
79,6,8,174,0.5767519095216058,0.855,0.4465848747204326,0.8825
80,7,8,84,1.1766022567712717,0.73,0.42497670337050913,0.8575
81,9,8,120,0.5122522180088215,0.87,0.5818993211175059,0.8175
82,0,9,211,1.1678882349593172,0.785,0.8044433522904142,0.8175
83,1,9,143,0.25866537503799875,0.94,0.5387894103061909,0.805
84,2,9,228,0.778756692986962,0.8475,0.527596148036354,0.8475
85,3,9,215,0.5569000806999076,0.8725,0.7071133252406177,0.81
86,4,9,135,1.040404744544423,0.795,0.5003696157183996,0.85
87,5,9,190,0.6372736504321626,0.8525,0.5110040334309193,0.845
88,6,9,71,0.7132888011328815,0.82,0.506156406585005,0.8375
89,7,9,232,1.246299700607942,0.77,0.35382216710466974,0.8875
90,8,9,86,0.7977196579979287,0.8475,0.5028271994136769,0.8275
