n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,225,0.1692183033904224,0.9725,1.209377051513503,0.735
2,2,0,88,0.5159763736284805,0.885,1.3244582995934229,0.7125
3,3,0,119,0.29569626383895403,0.9275,1.0412241500103636,0.7475
4,4,0,140,0.9338813340888283,0.8325,0.9476531329654726,0.775
5,5,0,98,0.4376004253246231,0.9025,1.1652161512855599,0.73
6,6,0,209,0.5503840600243947,0.8825,1.3531655756035526,0.6975
7,7,0,76,0.8800447839700615,0.7825,1.120404625729151,0.7175
8,8,0,43,0.35616850807151734,0.8975,0.9138640880995561,0.7475
9,9,0,33,0.2652972740432274,0.91,0.7418599309514395,0.785
10,10,0,149,0.7245132861679743,0.8575,1.253320000997287,0.7225
11,11,0,183,0.9578983313697749,0.8275,1.2153480469927422,0.7125
12,12,0,161,0.22000618212025072,0.94,1.2261899615559015,0.7125
13,13,0,198,0.3544906474521171,0.9275,1.116667586155216,0.7275
14,0,1,108,1.0821973847903041,0.77,0.12721558805826683,0.9575
15,2,1,99,0.46927739882874764,0.8975,0.1538766351092093,0.96
16,3,1,214,0.4511719446993,0.905,0.17056826271531209,0.9575
17,4,1,211,1.1500184449203124,0.805,0.0974759152049911,0.9675
18,5,1,165,0.4454652187795552,0.9075,0.11456534453982717,0.9575
19,6,1,132,0.6442369232093861,0.8675,0.087799632205945,0.9725
20,7,1,252,0.9472610947833044,0.81,0.14554655023647575,0.965
21,8,1,210,0.45790874027600836,0.9025,0.09130474649286582,0.975
22,9,1,61,0.3810291215060616,0.89,0.12235526042796739,0.96
23,10,1,285,0.6977882941942012,0.865,0.0758487437250221,0.9675
24,11,1,171,0.8029597464712404,0.85,0.16092494690550058,0.9575
25,12,1,122,0.24053345597099984,0.94,0.12616980207700174,0.9625
26,13,1,240,0.4446897540880773,0.8975,0.10873168369559609,0.955
27,0,2,67,1.1001866169938705,0.7575,0.47581069803758935,0.8775
28,1,2,212,0.06678744392605324,0.9875,0.6287735448346956,0.8525
29,3,2,114,0.2756067021960047,0.9375,0.5203387232332057,0.8925
30,4,2,195,1.1279905997780988,0.8075,0.4788866539622476,0.8825
31,5,2,282,0.31354978857488147,0.9325,0.5865230171296113,0.8775
32,6,2,153,0.5873066830232649,0.8825,0.586227224546614,0.875
33,7,2,175,0.8405441362715861,0.8175,0.5609791986874607,0.87
34,8,2,108,0.4522512501405501,0.895,0.4960408676361197,0.885
35,9,2,91,0.4113061349716801,0.8825,0.48642320089296054,0.8825
36,10,2,93,0.7220437053036253,0.855,0.445457143818079,0.8975
37,11,2,132,0.757333856185078,0.85,0.5648192654905887,0.86
38,12,2,177,0.23946530071514582,0.935,0.577004931059461,0.86
39,13,2,90,0.4184971845426329,0.9125,0.5187662206076857,0.875
40,0,3,273,1.2233142074083079,0.77,0.4231136890714013,0.9
41,1,3,285,0.16128285811069898,0.965,0.38756074519490236,0.8875
42,2,3,130,0.5398508790219788,0.8925,0.2801216528212256,0.9375
43,4,3,59,1.026676998747402,0.785,0.36333129816415755,0.8925
44,5,3,114,0.4583288637264173,0.8925,0.2895280241260927,0.9075
45,6,3,143,0.6092546328084603,0.8625,0.28938971476170955,0.92
46,7,3,141,0.9907255540829445,0.8125,0.412413972832062,0.8925
47,8,3,251,0.4457256844172671,0.8975,0.4424750095082857,0.9
48,9,3,97,0.37817375802684794,0.9025,0.3264478263087127,0.88
49,10,3,247,0.6628481906625288,0.87,0.40509694321252476,0.8825
50,11,3,217,0.9849888663172321,0.805,0.4493197680760872,0.9025
51,12,3,217,0.2965117728530722,0.92,0.30994785767605476,0.91
52,13,3,225,0.6677279595558223,0.89,0.4507043372561591,0.8875
53,0,4,58,0.9157293964871908,0.775,0.7232219262462736,0.8375
54,1,4,157,0.12658547016775648,0.9725,0.806894226036297,0.815
55,2,4,109,0.44052688799137396,0.9125,0.852715288617341,0.8325
56,3,4,83,0.30128909265264386,0.915,0.9508331849708855,0.7775
57,5,4,278,0.4111557061861081,0.9075,1.0010309177346781,0.775
58,6,4,250,0.6425424725865514,0.8675,0.8794191513811488,0.825
59,7,4,125,0.7674308775173289,0.8425,0.8332667875716477,0.82
60,8,4,237,0.38054473311292764,0.915,0.8110051890429288,0.7975
61,9,4,25,0.3022918813270354,0.91,0.745693012715418,0.7675
62,10,4,126,0.6883281467246275,0.86,1.2019426086276068,0.7575
63,11,4,273,0.8793298939519857,0.8375,0.636213812599324,0.84
64,12,4,95,0.23745094973913472,0.94,0.8925574901933809,0.79
65,13,4,253,0.4366118463117745,0.905,0.8015312276615882,0.8125
66,0,5,271,1.2848577704879496,0.7675,0.3717322021966726,0.88
67,1,5,224,0.11592889634575683,0.9725,0.3229267145138664,0.8975
68,2,5,33,0.34399784504273834,0.8975,0.3894787769154745,0.8675
69,3,5,66,0.2552523408361057,0.9325,0.3524638633994965,0.88
70,4,5,95,1.087872873314662,0.8,0.36471502176731563,0.885
71,6,5,95,0.5675519251158888,0.8675,0.3525241215941396,0.89
72,7,5,221,1.0601842712830212,0.8075,0.3436364228744748,0.8925
73,8,5,24,0.3214843346875321,0.915,0.3786119178874272,0.8675
74,9,5,130,0.42644171391311037,0.91,0.3232779003620528,0.895
75,10,5,189,0.5268002960893896,0.87,0.39654029529679885,0.895
76,11,5,251,0.9141325459430817,0.83,0.43246698345400797,0.875
77,12,5,230,0.3084263072074408,0.9375,0.3277995481476199,0.9025
