n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,74,2.3302685264068965,0.4925,2.2901768025780953,0.49
2,2,0,114,0.04689544077315584,0.9975,0.02329250347076833,0.9975
3,3,0,86,0.04935704504593454,0.9975,0.028452259138839947,0.9975
4,4,0,196,1.9968290141522376,0.59,0.009447114843125673,1.0
5,5,0,278,2.906238866403572,0.43,0.009108834156149891,1.0
6,6,0,73,2.5565222061520654,0.3925,0.06916809247432301,0.985
7,7,0,86,2.554891787414202,0.495,0.016538449567023307,0.9975
8,8,0,47,1.7905435679766546,0.5,0.20913267338528704,0.96
9,0,1,86,2.3837073383065532,0.515,2.360131750787223,0.495
10,2,1,111,0.024477115799582908,1.0,0.025606140675573083,1.0
11,3,1,265,0.025998888772325153,1.0,0.018837673871863303,0.9975
12,4,1,137,2.0214990358491374,0.5775,0.013051047732303478,1.0
13,5,1,225,3.19549123057551,0.4175,0.0073279692255167235,1.0
14,6,1,139,3.2757171194550936,0.3725,0.011125561027855505,1.0
15,7,1,82,2.3051991919583834,0.5,0.04516373835717835,0.9925
16,8,1,46,2.0207965046409786,0.515,0.22295023902168648,0.9375
17,0,2,104,0.03924293536251111,1.0,0.0400422264592656,0.9925
18,1,2,74,0.0713504772090052,1.0,0.04005841119289463,0.9975
19,3,2,35,1.9785886692680152,0.505,1.875014134079116,0.4975
20,4,2,97,1.9500486139773219,0.59,0.04427101656212367,0.9925
21,5,2,54,2.2778738920741466,0.42,0.14212107007693198,0.965
22,6,2,93,2.9450278653324133,0.43,0.08077764445008498,0.98
23,7,2,57,1.9288199647975415,0.5225,0.08665890448155708,0.975
24,8,2,51,2.044476220929134,0.5,0.12273603327921175,0.97
25,0,3,104,0.045313748849787894,1.0,0.02724729692218775,0.9975
26,1,3,107,0.03010486863101197,1.0,0.02130606902604205,0.995
27,2,3,34,1.890365713604608,0.525,1.844588368933483,0.535
28,4,3,135,2.3035412733724856,0.5425,0.026416008309479957,0.9975
29,5,3,136,2.952793629016841,0.39,0.00965461086473437,1.0
30,6,3,259,2.891175686927747,0.455,0.008110167110453877,1.0
31,7,3,98,2.490406435828366,0.4625,0.09528648567820358,0.975
32,8,3,295,2.551184058398862,0.51,0.01034997996236233,1.0
33,0,4,104,0.031560492545617665,1.0,1.7461308412781795,0.57
34,1,4,140,0.01841085474613085,1.0,2.0861754876823326,0.565
35,2,4,108,0.02264225378226202,1.0,1.8720455331965482,0.5875
36,3,4,193,0.019726774742525842,1.0,2.027652540913717,0.565
37,5,4,41,2.274823383535362,0.3925,1.9016686412070618,0.49
38,6,4,42,2.642397153977207,0.3525,1.8895745600563627,0.5025
39,7,4,255,3.188893863795898,0.44,2.5935334464025543,0.525
40,8,4,217,2.903935045433882,0.48,2.5116148201484414,0.5125
41,0,5,102,0.042497823189419956,0.9975,2.470351306434768,0.435
42,1,5,94,0.026154652480835296,1.0,3.0086935227205864,0.365
43,2,5,102,0.015897533272740877,1.0,2.6843505477422798,0.3825
44,3,5,73,0.04799118874861664,1.0,2.856745299299685,0.3475
45,4,5,101,2.152022236374847,0.575,3.0963349375283693,0.37
46,6,5,152,3.598908809450554,0.355,3.32097685361816,0.3625
47,7,5,92,2.6148162030872664,0.49,3.1126216976261283,0.3675
48,8,5,56,1.9149607010391843,0.5225,2.2858820887160336,0.3875
